national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
0,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
2,9.0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,1,0,0
2,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
7,8.0,0,0,0,0,0,0,0,0,1,0,0,0.1,0.13,0,0,0,0,1,0,0
8,16.0,0,0,0,0,0,0,0,4,2,0,0,-99.0,-99.0,0,1,0,0,1,0,0
13,8.0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.87,0,0,0,0,1,0,0
1095,16.0,0,0,0,0,0,0,0,0,4,0,0,-99.0,-99.0,0,1,0,0,1,0,0
6,2.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,1,0,0
140,16.0,0,15,114,152,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
4,8.0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.87,0,0,0,0,1,0,0
0,2.0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.82,0,0,0,0,1,0,0
20,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
18,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
29,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,0,0,0
10,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
11,8.0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.78,0,0,0,0,1,0,0
12,2.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.98,0,0,0,0,1,0,0
169,2.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,1,0,0
4,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
147,8.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,1.0,0,0,0,1,1,0,0
8,16.0,0,0,0,0,0,0,0,0,1,0,0,-99.0,-99.0,0,1,0,0,1,0,0
9,16.0,0,0,0,0,0,0,0,0,1,0,0,-99.0,-99.0,0,1,0,0,1,0,0
33,16.0,0,0,0,0,0,0,0,0,1,0,0,-99.0,-99.0,0,1,0,1,1,0,0
82,8.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,1.0,0,0,0,0,1,0,0
42,16.0,0,0,0,0,0,0,0,0,1,0,0,-99.0,-99.0,0,1,0,0,1,0,0
5,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,1,0,0,0
4,2.0,0,0,0,0,0,0,1,1,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
0,16.0,0,0,0,0,1,1,1,3,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
5,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
20,8.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
20,16.0,0,0,0,0,0,0,0,2,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
50,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,0,0,0,0
19,16.0,0,0,0,0,0,2,2,2,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
10,16.0,0,0,0,0,0,0,0,0,2,0,0,-99.0,-99.0,0,0,0,0,1,0,0
0,8.0,0,174,174,174,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
48,16.0,0,0,0,0,0,0,0,0,8,0,0,-99.0,-99.0,0,1,0,0,1,0,0
23,16.0,0,0,0,0,0,0,0,1,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
3870,16.0,0,0,0,0,26,96,171,763,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
2,12.0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,1,0,0
3,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
89,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
26,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
16,16.0,0,0,0,0,0,0,2,2,3,0,0,-99.0,-99.0,0,0,0,0,0,0,0
24,16.0,0,0,0,0,0,0,0,0,1,0,0,-99.0,-99.0,0,1,0,0,1,0,0
47,2.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0
6,16.0,0,0,0,0,0,0,0,0,2,0,0,-99.0,-99.0,0,1,0,0,1,0,0
890,8.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
20,16.0,0,0,0,0,0,0,0,0,2,0,0,-99.0,-99.0,0,1,0,0,1,0,0
23,16.0,0,0,0,0,0,0,1,1,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
2,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,1,1,0,0
19,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
6,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,0,0,0
0,16.0,0,0,0,0,0,0,0,0,3,0,0,-99.0,-99.0,0,0,0,0,0,0,0
49,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
0,16.0,0,0,0,0,0,0,0,8,3,0,0,-99.0,-99.0,0,0,0,0,0,0,0
6,8.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
1,9.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
163,8.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,1,1,0,0
0,6.0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.66,0,0,0,0,1,0,0
185,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,0,0,0
7,16.0,0,0,0,0,0,0,1,1,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
64,16.0,0,0,0,0,0,10,11,11,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
0,2.0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.89,0,1,0,0,1,0,0
113,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
2,16.0,0,0,0,0,0,0,0,0,1,0,0,-99.0,-99.0,0,0,0,1,1,0,0
15,8.0,0,0,0,0,0,0,0,0,2,0,0,-99.0,-99.0,0,0,0,0,1,0,0
0,8.0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.84,0,1,0,0,1,0,0
0,8.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.98,0,0,0,0,1,0,0
32,2.0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.6,0,0,0,0,1,0,0
14,9.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,1,0,0
3,8.0,0,0,0,0,0,0,0,0,1,0,0,-99.0,-99.0,0,0,0,1,1,0,0
0,16.0,0,2,4,4,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
46,16.0,0,0,0,0,0,4,19,35,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
522,16.0,0,0,0,0,0,1,3,15,0,0,0,-99.0,-99.0,0,1,0,0,0,0,0
4,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
2,16.0,0,0,0,0,0,1,1,1,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
0,12.0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.79,0,0,0,1,1,0,0
222,16.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
