sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
1026827,0,1112518.5,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
1043384,2,9.0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,0,0,0,1,0,0
1043696,2,1112518.5,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
1043852,7,8.0,0,0,0,0,0,0,0,0,1,0,0,0.1,0.13,0,0,0,0,1,0,0
1044048,8,1112518.5,0,0,0,0,0,0,0,4,2,0,0,-99.0,-99.0,0,1,0,0,1,0,0
1044198,13,8.0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.87,0,0,0,0,1,0,0
1044643,1095,1112518.5,0,0,0,0,0,0,0,0,4,0,0,-99.0,-99.0,0,1,0,0,1,0,0
1045098,6,2.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,1,1,0,0
1045815,140,1112518.5,0,15,114,152,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
1045867,4,8.0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.87,0,0,0,0,1,0,0
1045918,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0.91,0.82,0,0,0,0,1,0,0
1047146,20,1112518.5,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
1047199,18,1112518.5,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
1047661,29,1112518.5,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,0,0,0
1049160,10,1112518.5,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,1,0,0,1,0,0
1049468,11,8.0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.78,0,0,0,0,1,0,0
1050390,12,2.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.98,0,0,0,0,1,0,0
1050440,169,2.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,1,0,0
1117808,4,1112518.5,0,0,0,0,0,0,0,0,0,0,0,-99.0,-99.0,0,0,0,0,1,0,0
1050856,147,8.0,0,0,0,0,0,0,0,0,0,0,0,-99.0,1.0,0,0,0,1,1,0,0
1118063,8,1112518.5,0,0,0,0,0,0,0,0,1,0,0,-99.0,-99.0,0,1,0,0,1,0,0
